Random,Quicksort iterative - random,999999,0.38
Random,Quicksort iterative - rightmost,1000000,0.37
V-shaped,Quicksort iterative - random,1000000,0.33
V-shaped,Quicksort iterative - rightmost,1000000,0.33
Random,Quicksort iterative - random,1100000,0.39
Random,Quicksort iterative - rightmost,1100000,0.39
V-shaped,Quicksort iterative - random,1100000,0.39
V-shaped,Quicksort iterative - rightmost,1100000,0.38
Random,Quicksort iterative - random,1200000,0.45
Random,Quicksort iterative - rightmost,1200000,0.42
V-shaped,Quicksort iterative - random,1200000,0.39
V-shaped,Quicksort iterative - rightmost,1200000,0.39
Random,Quicksort iterative - random,1300000,0.48
Random,Quicksort iterative - rightmost,1300000,0.50
V-shaped,Quicksort iterative - random,1300000,0.42
V-shaped,Quicksort iterative - rightmost,1300000,0.40
Random,Quicksort iterative - random,1400000,0.50
Random,Quicksort iterative - rightmost,1400000,0.49
V-shaped,Quicksort iterative - random,1400000,0.45
V-shaped,Quicksort iterative - rightmost,1400000,0.47
Random,Quicksort iterative - random,1500000,0.55
Random,Quicksort iterative - rightmost,1500000,0.55
V-shaped,Quicksort iterative - random,1500000,0.49
V-shaped,Quicksort iterative - rightmost,1500000,0.50
Random,Quicksort iterative - random,1600000,0.61
Random,Quicksort iterative - rightmost,1600000,0.58
V-shaped,Quicksort iterative - random,1600000,0.53
V-shaped,Quicksort iterative - rightmost,1600000,0.51
Random,Quicksort iterative - random,1700000,0.63
Random,Quicksort iterative - rightmost,1700000,0.64
V-shaped,Quicksort iterative - random,1700000,0.57
V-shaped,Quicksort iterative - rightmost,1700000,0.56
Random,Quicksort iterative - random,1800000,0.66
Random,Quicksort iterative - rightmost,1800000,0.67
V-shaped,Quicksort iterative - random,1800000,0.65
V-shaped,Quicksort iterative - rightmost,1800000,0.59
Random,Quicksort iterative - random,1900000,0.72
Random,Quicksort iterative - rightmost,1900000,0.72
V-shaped,Quicksort iterative - random,1900000,0.65
V-shaped,Quicksort iterative - rightmost,1900000,0.64
Ascending,Quicksort iterative - random,100000,0.02
Ascending,Quicksort iterative - rightmost,100000,0.02
Ascending,Quicksort iterative - random,200000,0.05
Ascending,Quicksort iterative - rightmost,200000,0.05
Ascending,Quicksort iterative - random,300000,0.09
Ascending,Quicksort iterative - rightmost,300000,0.09
Ascending,Quicksort iterative - random,400000,0.12
Ascending,Quicksort iterative - rightmost,400000,0.12
Ascending,Quicksort iterative - random,500000,0.14
Ascending,Quicksort iterative - rightmost,500000,0.15
Ascending,Quicksort iterative - random,600000,0.18
Ascending,Quicksort iterative - rightmost,600000,0.19
Ascending,Quicksort iterative - random,700000,0.21
Ascending,Quicksort iterative - rightmost,700000,0.21
Ascending,Quicksort iterative - random,800000,0.26
Ascending,Quicksort iterative - rightmost,800000,0.26
Ascending,Quicksort iterative - random,900000,0.30
Ascending,Quicksort iterative - rightmost,900000,0.28
Ascending,Quicksort iterative - random,1000000,0.32
Ascending,Quicksort iterative - rightmost,1000000,0.33
Constant,Quicksort iterative - random,10000,0.82
Constant,Quicksort iterative - rightmost,10000,0.83
Constant,Quicksort iterative - random,11000,1.00
Constant,Quicksort iterative - rightmost,11000,1.00
Constant,Quicksort iterative - random,12000,1.19
Constant,Quicksort iterative - rightmost,12000,1.19
Constant,Quicksort iterative - random,13000,1.40
Constant,Quicksort iterative - rightmost,13000,1.41
Constant,Quicksort iterative - random,14000,1.63
Constant,Quicksort iterative - rightmost,14000,1.64
Constant,Quicksort iterative - random,15000,1.87
Constant,Quicksort iterative - rightmost,15000,1.87
Constant,Quicksort iterative - random,16000,2.13
Constant,Quicksort iterative - rightmost,16000,2.12
Constant,Quicksort iterative - random,17000,2.40
Constant,Quicksort iterative - rightmost,17000,2.40
Constant,Quicksort iterative - random,18000,2.70
Constant,Quicksort iterative - rightmost,18000,2.70
Constant,Quicksort iterative - random,19000,3.01
Constant,Quicksort iterative - rightmost,19000,3.01
