Ascending,Quicksort recursive - rightmost,10000,0.21
Ascending,Quicksort recursive - rightmost,20000,0.86
Ascending,Quicksort recursive - rightmost,30000,1.93
Ascending,Quicksort recursive - rightmost,40000,3.44
Ascending,Quicksort recursive - rightmost,50000,5.36
Ascending,Quicksort recursive - rightmost,60000,7.73
Ascending,Quicksort recursive - rightmost,70000,10.52
Ascending,Quicksort recursive - rightmost,80000,13.75
Ascending,Quicksort recursive - rightmost,90000,17.39
Ascending,Quicksort recursive - rightmost,100000,21.48
