Random,Selection sort,10000,0.10
Random,Insertion sort,10000,0.07
Ascending,Selection sort,10000,0.11
Ascending,Insertion sort,10000,0.00
Descending,Selection sort,10000,0.10
Descending,Insertion sort,10000,0.13
Constant,Selection sort,10000,0.10
Constant,Insertion sort,10000,0.00
V-shaped,Selection sort,10000,0.10
V-shaped,Insertion sort,10000,0.06
Random,Selection sort,20000,0.43
Random,Insertion sort,20000,0.27
Ascending,Selection sort,20000,0.43
Ascending,Insertion sort,20000,0.00
Descending,Selection sort,20000,0.41
Descending,Insertion sort,20000,0.54
Constant,Selection sort,20000,0.43
Constant,Insertion sort,20000,0.00
V-shaped,Selection sort,20000,0.42
V-shaped,Insertion sort,20000,0.27
Random,Selection sort,30000,0.97
Random,Insertion sort,30000,0.60
Ascending,Selection sort,30000,0.96
Ascending,Insertion sort,30000,0.00
Descending,Selection sort,30000,0.93
Descending,Insertion sort,30000,1.22
Constant,Selection sort,30000,0.96
Constant,Insertion sort,30000,0.00
V-shaped,Selection sort,30000,0.94
V-shaped,Insertion sort,30000,0.60
Random,Selection sort,40000,1.72
Random,Insertion sort,40000,1.08
Ascending,Selection sort,40000,1.71
Ascending,Insertion sort,40000,0.00
Descending,Selection sort,40000,1.65
Descending,Insertion sort,40000,2.16
Constant,Selection sort,40000,1.72
Constant,Insertion sort,40000,0.00
V-shaped,Selection sort,40000,1.69
V-shaped,Insertion sort,40000,1.08
Random,Selection sort,50000,2.68
Random,Insertion sort,50000,1.69
Ascending,Selection sort,50000,2.67
Ascending,Insertion sort,50000,0.00
Descending,Selection sort,50000,2.58
Descending,Insertion sort,50000,3.39
Constant,Selection sort,50000,2.68
Constant,Insertion sort,50000,0.00
V-shaped,Selection sort,50000,2.64
V-shaped,Insertion sort,50000,1.69
Random,Selection sort,60000,3.87
Random,Insertion sort,60000,2.43
Ascending,Selection sort,60000,3.85
Ascending,Insertion sort,60000,0.00
Descending,Selection sort,60000,3.71
Descending,Insertion sort,60000,4.88
Constant,Selection sort,60000,3.87
Constant,Insertion sort,60000,0.00
V-shaped,Selection sort,60000,3.79
V-shaped,Insertion sort,60000,2.43
Random,Selection sort,70000,5.25
Random,Insertion sort,70000,3.32
Ascending,Selection sort,70000,5.26
Ascending,Insertion sort,70000,0.00
Descending,Selection sort,70000,5.04
Descending,Insertion sort,70000,6.65
Constant,Selection sort,70000,5.25
Constant,Insertion sort,70000,0.00
V-shaped,Selection sort,70000,5.17
V-shaped,Insertion sort,70000,3.32
Random,Selection sort,80000,6.86
Random,Insertion sort,80000,4.34
Ascending,Selection sort,80000,6.85
Ascending,Insertion sort,80000,0.00
Descending,Selection sort,80000,6.59
Descending,Insertion sort,80000,8.69
Constant,Selection sort,80000,6.85
Constant,Insertion sort,80000,0.00
V-shaped,Selection sort,80000,6.75
V-shaped,Insertion sort,80000,4.34
Random,Selection sort,90000,8.69
Random,Insertion sort,90000,5.49
Ascending,Selection sort,90000,8.69
Ascending,Insertion sort,90000,0.00
Descending,Selection sort,90000,8.34
Descending,Insertion sort,90000,10.99
Constant,Selection sort,90000,8.68
Constant,Insertion sort,90000,0.00
V-shaped,Selection sort,90000,8.54
V-shaped,Insertion sort,90000,5.50
Random,Selection sort,100000,10.71
Random,Insertion sort,100000,6.79
Ascending,Selection sort,100000,10.71
Ascending,Insertion sort,100000,0.00
Descending,Selection sort,100000,10.29
Descending,Insertion sort,100000,13.57
Constant,Selection sort,100000,10.73
Constant,Insertion sort,100000,0.00
V-shaped,Selection sort,100000,10.53
V-shaped,Insertion sort,100000,6.77
